code;name
ZA9/G97;EPT Horus (bus)
ZA9/H02;O.ME.P.S. (truck trailer)
ZA9/H44;Green-technik by Green Produzione s.r.l. (machine trailer)
ZA9/K98;Esagono Energia S.r.l.
ZA9/M09;Italdesign Automobili Speciali
ZA9/M27;Dallara Stradale
ZA9/M91;Automobili Pininfarina
ZBA;Piacenza (truck trailer)
ZBB;Bertone
ZBN;Benelli
ZBW;Rayton-Fissore Magnum
ZCB;E. Bartoletti SpA (truck trailer)
ZCF;Iveco
ZCG;Cagiva SpA / MV Agusta
ZCG;Husqvarna Motorcycles Under MV Agusta ownership
ZCM;Menarinibus - IIA (Industria Italiana Autobus) / BredaMenariniBus
ZCN;Astra Veicoli Industriali S.p.A.
ZC1;AnsaldoBreda S.p.A.
ZC2;Chrysler TC by Maserati
ZDC;Honda Italia Industriale SpA
ZDF;[[../Ferrari/VIN Codes|Ferrari]] Dino
ZDJ;ACM Biagini
ZDM;Ducati Motor Holdings SpA
ZDT;De Tomaso Modena SpA
ZDY;Cacciamali
ZD0;Yamaha Motor Italia SpA & Belgarda SpA
ZD3;Beta Motor
ZD4;Aprilia
ZEH;Trigano SpA (former SEA Group); McLouis & Mobilvetta recreational vehicles
ZES;Bimota
ZE5;Carmosino (truck trailer)
ZFA;Fiat
ZFB;Fiat MPV/SUV
ZFC;Fiat truck (Fiat Ducato for Mexico, Ram 1200)
ZFE;KL Motorcycle
ZFF;[[../Ferrari/VIN Codes|Ferrari]]
ZFJ;Carrozzeria Pezzaioli (truck trailer)
ZFM;Fantic Motor
ZFR;Pininfarina
ZF4;Qvale
ZGA;Iveco Bus
ZGU;Moto Guzzi
ZHU;Husqvarna Motorcycles Under Cagiva ownership
ZHW;[[../Lamborghini/VIN Codes|Lamborghini]] Mid 2003-
ZHZ;Menci SpA (truck trailer)
ZH5;FB Mondial (motorcycle)
ZJM;Malaguti
ZJN;Innocenti
ZJT;Italjet
ZKH;Husqvarna Motorcycles Srl Under BMW ownership
ZLA;Lancia
ZLF;Tazzari GL SpA
ZLM;Moto Morini srl
ZLV;Laverda
ZNN;Energica
ZN0;SWM Motorcycles S.r.l.
ZN3;Iveco Defence
ZN6;Maserati SUV
ZPB;[[../Lamborghini/VIN Codes|Lamborghini]] SUV
ZPY;DR Automobiles
ZRG;Tazzari GL Imola SpA
ZSG;[[../Ferrari/VIN Codes|Ferrari]] SUV
ZY1;Adria (recreational vehicles) (Slovenia)
ZZ1;Tomos motorcycle (Slovenia)
Z2Z;Avtomontaža (bus) (Slovenia)
Z39/009;Patikima Linija / Rimo (truck trailer) (Lithuania)
Z6F;Ford Sollers (Russia)
Z76;SEMAZ (Kazakhstan)
Z8M;Marussia (Russia)
Z8N;Nissan Manufacturing Rus (Russia)
Z8T;PCMA Rus (Russia)
Z9M;Mercedes-Benz Trucks Vostok (Russia)
Z9N;Samotlor-NN (Iveco) (Russia)
Z94;Hyundai Motor Manufacturing Rus (Russia)
1A4 1A8;Chrysler brand MPV/SUV 2006–2009 only
1A9/111;Amerisport Inc.
1A9/569;American Custom Golf Cars Inc. (AGC)
1AC;American Motors Corporation MPV
1AF;American LaFrance truck
1AM;American Motors Corporation car & Renault Alliance 1983 only
1B3;Dodge car 1981–2011
1B4;Dodge MPV/SUV 1981–2002
1B6;Dodge incomplete vehicle 1981–2002
1B7;Dodge truck 1981–2002
1B9/133;Buell Motorcycle Company through mid 1995
1B9/285;Boss Hoss Cycles
1B9/975;Motus Motorcycles
1BA;Blue Bird Corporation bus
1BB;Blue Bird Wanderlodge MPV
1BD;Blue Bird Corporation incomplete vehicle
1BL;Balko, Inc.
1C3;Chrysler brand car 1981–2011
1C3;Chrysler Group (all brands) car (including Lancia) 2012-
1C4;Chrysler brand MPV 1990–2005
1C4;Chrysler Group (all brands) MPV 2012–
1C6;Chrysler Group (all brands) truck 2012–
1C8;Chrysler brand MPV 2001–2005
1C9/291;CX Automotive
1CM;Checker Motors Corporation
1CU;Cushman Haulster (Cushman division of Outboard Marine Corporation)
1CY;Crane Carrier Company
1D3;Dodge truck 2002–2009
1D4;Dodge MPV/SUV 2003–2011 only
1D7;Dodge truck 2002–2011
1D8;Dodge MPV/SUV 2003–2009 only
1E9/190;Electric Transit Inc. (trolleybus)
1E9/363;E-SUV LLC (E-Ride Industries)
1E9/456;Electric Motorsport (GPR-S electric motorcycle)
1FA;[[../Ford/VIN Codes|Ford]] car
1FB;[[../Ford/VIN Codes|Ford]] "bus" (van with more than 3 rows of seats)
1FC;[[../Ford/VIN Codes|Ford]] stripped chassis made by Ford
1FD;[[../Ford/VIN Codes|Ford]] incomplete vehicle
1FG;Freightliner Unimog (works machine)
1FM;[[../Ford/VIN Codes|Ford]] MPV/SUV
1FT;[[../Ford/VIN Codes|Ford]] truck
1FU;Freightliner
1FV;Freightliner
1F1;Ford SUV - Limousine (through 2009)
1F6;Ford stripped chassis made by Detroit Chassis LLC
1F9/037;Federal Motors Inc. 
1F9/FT1;FWD Corp.
1F9/ST2;Seagrave
1G;[[../GM/VIN Codes|General Motors]] USA
1G0;GMC "bus" (van with more than 3 rows of seats) 1981–1986
1G0;GMC Rapid Transit Series (RTS) bus 1981–1984
1G0;Opel car 2007–2017
1G1;[[../GM/VIN Codes|Chevrolet]] car
1G2;[[../GM/VIN Codes|Pontiac]] car
1G3;[[../GM/VIN Codes|Oldsmobile]] car
1G4;[[../GM/VIN Codes|Buick]] car
1G5;GMC MPV/SUV 1981–1986
1G6;[[../GM/VIN Codes|Cadillac]] car
1G7;Pontiac car only sold by GM Canada
1G8;Chevrolet MPV/SUV 1981–1986
1G8;[[../GM/VIN Codes|Saturn]] car 1991–2010
1G9/495;Google & Waymo
1GA;Chevrolet "bus" (van with more than 3 rows of seats)
1GB;Chevrolet incomplete vehicles
1GC;[[../GM/VIN Codes|Chevrolet]] truck 
1GD;GMC incomplete vehicles
1GE;Cadillac incomplete vehicle
1GF;Flxible bus
1GG;Isuzu pickup trucks made by GM
1GH;GMC Rapid Transit Series (RTS) bus 1985–1986
1GH;Oldsmobile MPV/SUV 1990–2004
1GH;Holden Acadia 2019–2020
1GJ;GMC "bus" (van with more than 3 rows of seats) 1987–
1GK;GMC MPV/SUV 1987–
1GM;[[../GM/VIN Codes|Pontiac]] MPV
1GN;[[../GM/VIN Codes|Chevrolet]] MPV/SUV 1987-
1GT;[[../GM/VIN Codes|GMC]] Truck 
1GY;[[../GM/VIN Codes|Cadillac]] SUV
1HA;Chevrolet incomplete vehicles made by Navistar International
1HD;Harley-Davidson
1HF;Honda motorcycle/ATV/UTV
1HG;[[../Honda/VIN Codes|Honda]] car made by Honda of America Mfg. in Ohio
1HS;International Trucks & Caterpillar Trucks truck
1HT;International Trucks & Caterpillar Trucks & Chevrolet Silverado 4500HD, 5500HD, 6500HD incomplete vehicle
1HV;IC Bus incomplete bus 
1JC;Jeep SUV 1981–1988 (using AMC-style VIN structure)
1JT;Jeep truck 1981–1988 (using AMC-style VIN structure)
1JU;Marmon Motor Company
1J4;Jeep SUV 1989–2011 (using Chrysler-style VIN structure)
1J7;Jeep truck 1989–1992 (using Chrysler-style VIN structure)
1J8;Jeep SUV 2002–2011 (using Chrysler-style VIN structure)
1LJ;Lincoln incomplete vehicle
1LN;[[../Ford/VIN Codes|Lincoln]] car
1LV;Lectra Motors
1L1;Lincoln car – limousine
1L9/155;LA Exotics
1L9/234;Laforza
1MB;Mercedes-Benz Truck Co.
1ME;[[../Ford/VIN Codes|Mercury]] car
1MR;Continental Mark VI & VII 1981–1985 & Continental sedan 1982–1985
1M0;John Deere Gator
1M1;Mack Truck USA
1M2;Mack Truck USA
1M3;Mack Truck USA
1M4;Mack Truck USA
1M9/089;Mauck Special Vehicles
1M9/682;Mosler Automotive
1M9/816;Proterra Through mid-2019
1N4;Nissan car
1N6;Nissan truck
1N9/019;Neoplan USA
1N9/393;Nikola Corporation
1NK;Kenworth incomplete vehicle
1NP;Peterbilt incomplete vehicle
1NX;Toyota car made by NUMMI
1P3;Plymouth car
1P4;Plymouth MPV/SUV
1P7;Plymouth Scamp
1P9/038;Hawk Vehicles, Inc. (Trihawk motorcycles)
1P9/213;Panoz
1PY;John Deere USA
1S9/098;Scania AB (Scania CN112 bus made in Orange, CT)
1S9/842;Saleen S7
1S9/944;SSC North America
1TD;Timpte (truck trailer)
1T7;Thomas Built Buses
1T8;Thomas Built Buses
1T9/899;Tomcar USA
1TC;Coachmen Recreational Vehicle Co., LLC
1TU;Transportation Manufacturing Corporation
1UJ;Jayco, Inc.
1UT;Jeep DJ made by AM General
1VH;Orion Bus Industries
1VW;Volkswagen car
1V1;Volkswagen truck
1V2;Volkswagen SUV
1V9/048;Vector Aeromotive
1V9/113;Vantage Vehicle International Inc
1V9/190;Vanderhall Motor Works
1WT;Winnebago Industries
1WU;White Motor Company truck
1WV 1WW;Winnebago Industries
1WX 1WY;White Motor Company incomplete vehicle
1W9/485;Wheego Electric Cars
1XA;Excalibur Automobile Corporation
1XK;Kenworth truck
1XM;Renault Alliance/GTA/Encore 1984–1987
1XP;Peterbilt truck
1Y1;Chevrolet/Geo car made by NUMMI
1YJ;Rokon International, Inc.
1YV;[[../Ford/VIN Codes|Mazda made by Mazda Motor Manufacturing USA/AutoAlliance International]]
1ZV;[[../Ford/VIN Codes|Ford made by Mazda Motor Manufacturing USA/AutoAlliance International]]
1ZW;[[../Ford/VIN Codes|Mercury made by AutoAlliance International]]
1Z3 1Z7;Mitsubishi Raider
1Z9/170;[[w:Orange County Choppers|Orange County Choppers]]
10R;E-Z-GO
10T;Oshkosh Corporation 
12A;Avanti
137;AM General Hummer & Hummer H1
15G;Gillig bus
16C;Clenet Coachworks
16X;Vixen 21 motorhome
17N;John Deere incomplete vehicle (RV chassis)
19U;Acura car made by Honda of America Mfg. in Ohio
19V;Acura car made by Honda Manufacturing of Indiana
19X;Honda car made by Honda Manufacturing of Indiana
2A3;Imperial
2A4 2A8;Chrysler brand MPV/SUV 2006–2011 only
2AY 2AZ;Hino
2BC;Jeep Wrangler (YJ) 1987–1988 (using AMC-style VIN structure)
2BP;Ski-Doo
2BV;Can-Am & Bombardier ATV
2BW;Can-Am Commander E LSV
2BX;Can-Am Spyder
2BZ;Can-Am Freedom Trailer for Can-Am Spyder
2B1;Orion Bus Industries
2B3;Dodge car 1981–2011
2B4;Dodge MPV 1981–2002
2B5;Dodge "bus" (van with more than 3 rows of seats) 1981–2002
2B6;Dodge incomplete vehicle 1981–2002
2B7;Dodge truck 1981–2002
2C1;Geo/Chevrolet car made by CAMI Automotive
2C3;Chrysler brand car 1981–2011
2C3;Chrysler Group (all brands) car (including Lancia) 2012-
2C4;Chrysler brand MPV/SUV 2000–2005
2C4;Chrysler Group (all brands) MPV (including Lancia & VW) 2012-
2C7;Pontiac car made by CAMI Automotive only sold by GM Canada
2C8;Chrysler brand MPV/SUV 2001–2005
2C9/145;Campagna Motors
2C9/197;Canadian Electric Vehicles
2CC;American Motors Corporation MPV
2CG;Asüna/Pontiac SUV made by CAMI Automotive only sold by GM Canada
2CK;GMC Tracker SUV made by CAMI Automotive only sold by GM Canada 1990–1991 only
2CK;Pontiac Torrent SUV made by CAMI Automotive 2006–2009 only
2CM;American Motors Corporation car
2CN;Geo/Chevrolet SUV made by CAMI Automotive 1990–2011 only
2CT;GMC Terrain SUV made by CAMI Automotive 2010–2011 only
2D4;Dodge MPV 2003–2011 only
2D6;Dodge incomplete vehicle 2003
2D7;Dodge truck 2003
2D8;Dodge MPV 2003–2011 only
2EZ;Electra Meccanica Vehicles Corp. (Solo)
2E3;Eagle car 1989–1997 (using Chrysler-style VIN structure)
2E4;2011 Lancia MPV (Voyager)
2E9/080;Electra Meccanica Vehicles Corp. (Solo)
2FA;[[../Ford/VIN Codes|Ford]] car
2FH;Zenn Motor Co., Ltd. (low-speed vehicle)
2FM;[[../Ford/VIN Codes|Ford]] MPV/SUV
2FT;[[../Ford/VIN Codes|Ford]] truck
2FU;Freightliner
2FV;Freightliner
2FW;Sterling Trucks (truck-complete vehicle)
2FY;New Flyer
2FZ;Sterling Trucks (incomplete vehicle)
2Gx;[[../GM/VIN Codes|General Motors]] Canada
2G0;GMC "bus" (van with more than 3 rows of seats) 1981–1986
2G1;[[../GM/VIN Codes|Chevrolet]] car
2G2;[[../GM/VIN Codes|Pontiac]] car
2G3;[[../GM/VIN Codes|Oldsmobile]] car
2G4;[[../GM/VIN Codes|Buick]] car
2G5; GMC MPV 1981–1986
2G6;[[../GM/VIN Codes|Cadillac]] car
2G7; Pontiac car only sold by GM Canada
2G8; Chevrolet MPV 1981–1986
2GA;Chevrolet "bus" (van with more than 3 rows of seats)
2GB;Chevrolet incomplete vehicles
2GC;Chevrolet truck 
2GD;GMC incomplete vehicles 
2GE;Cadillac incomplete vehicle 
2GH;GMC GM New Look bus & GM Classic series bus 
2GJ;GMC "bus" (van with more than 3 rows of seats) 1987–
2GK;GMC MPV/SUV 1987– 
2GN;Chevrolet MPV/SUV 1987- 
2GT;GMC truck 
2HG;[[../Honda/VIN Codes|Honda]] car made by Honda of Canada Manufacturing
2HH;Acura car made by Honda of Canada Manufacturing
2HJ;[[../Honda/VIN Codes|Honda]] truck made by Honda of Canada Manufacturing
2HK;[[../Honda/VIN Codes|Honda]] MPV/SUV made by Honda of Canada Manufacturing
2HM;Hyundai Canada
2HN;Acura SUV made by Honda of Canada Manufacturing
2HS;International Trucks truck
2HT;International Trucks incomplete vehicle
2J4;Jeep Wrangler (YJ) 1989–1992 (using Chrysler-style VIN structure)
2L1;Lincoln incomplete vehicle – limo
2LD;Triple E Canada Ltd.
2LJ;Lincoln incomplete vehicle – hearse
2LM;Lincoln SUV
2LN;Lincoln car
2M1;Mack Trucks
2M2;Mack Trucks
2ME;[[../Ford/VIN Codes|Mercury]] car
2MG;Motor Coach Industries (Produced from Sept. 1, 2008 on)
2MR;[[../Ford/VIN Codes|Mercury]] MPV
2NK;Kenworth incomplete vehicle
2NP;Peterbilt incomplete vehicle
2NV;Nova Bus 
2P3;Plymouth car
2P4;Plymouth MPV 1981–2000
2P5;Plymouth "bus" (van with more than 3 rows of seats) 1981–1983
2P9/001;Prevost 1981–1995
2PC;Prevost 1996-
2S2;Suzuki car made by CAMI Automotive
2S3;Suzuki SUV made by CAMI Automotive
2T1;[[../Toyota/VIN Codes|Toyota]] car made by TMMC
2T2;Lexus SUV made by TMMC
2T3;[[../Toyota/VIN Codes|Toyota]] SUV made by TMMC
2T9/206;Triple E Canada Ltd.
2V4;Volkswagen Routan made by Chrysler Canada
2V8;Volkswagen Routan made by Chrysler Canada
2WK;Western Star truck
2WL;Western Star incomplete vehicle
2WM;Western Star incomplete vehicle
2XK;Kenworth truck
2XM;Eagle Premier 1988 only (using AMC-style VIN structure)
2XP;Peterbilt truck
3A4 3A8;Chrysler brand MPV 2006–2010 only
3AK;Freightliner Trucks
3AL;Freightliner Trucks
3AX;Scania Mexico
3BE;Scania Mexico (buses)
3BJ;Western Star 3700 truck made by DINA S.A.
3BK;Kenworth incomplete vehicle
3BM;Motor Coach Industries bus made by DINA S.A.
3BP;Peterbilt  incomplete vehicle
3B3;Dodge car 1981–2011
3B4;Dodge SUV 1986–1993
3B6;Dodge incomplete vehicle 1981–2002
3B7;Dodge truck 1981–2002
3C3;Chrysler brand car 1981–2011
3C3;Chrysler Group (all brands) car (including Fiat) 2012-
3C4;Chrysler brand MPV 2001–2005
3C4;Chrysler Group (all brands) MPV (including Fiat) 2012-
3C6;Chrysler Group (all brands) truck 2012–
3C7;Chrysler Group (all brands) incomplete vehicle 2012–
3C8;Chrysler brand MPV 2001–2005
3CE;Volvo Buses de Mexico
3CG;KTMMEX S.A. de C.V.
3CZ;Honda SUV
3D2;Dodge incomplete vehicle 2007–2009
3D3;Dodge truck 2006–2009
3D4;Dodge SUV 2009–2011
3D6;Dodge incomplete vehicle 2003–2011
3D7;Dodge truck 2002–2011
3E4;2011 Fiat SUV (Freemont)
3FA;[[../Ford/VIN Codes|Ford]] car
3FC;Ford stripped chassis made by Ford & IMMSA
3FE;[[../Ford/VIN Codes|Ford]] Mexico
3FM;[[../Ford/VIN Codes|Ford]] MPV/SUV
3FN;Ford F-650/F-750 made by Blue Diamond Truck Co. (truck)
3FR;Ford F-650/F-750 made by Blue Diamond Truck Co. (incomplete vehicle)
3FT;[[../Ford/VIN Codes|Ford]] truck
3F6;Sterling Bullet
3G;[[../GM/VIN Codes|General Motors]] Mexico
3G0;Saab 9-4X 2011
3G0;Holden Equinox 2018–2020
3G1;[[../GM/VIN Codes|Chevrolet]] car
3G2;[[../GM/VIN Codes|Pontiac]] car
3G4;[[../GM/VIN Codes|Buick]] car
3G5;[[../GM/VIN Codes|Buick]] SUV
3G7;[[../GM/VIN Codes|Pontiac]] SUV
3GC;Chevrolet truck
3GK;GMC SUV
3GM;Holden Suburban
3GN;Chevrolet SUV
3GP;Honda Prologue EV made by GM
3GS;Saturn SUV
3GT;GMC truck
3GY;Cadillac SUV
3H1;Honda motorcycle/UTV
3H3;Hyundai de Mexico, S.A. de C.V. for Hyundai Translead (truck trailers)
3HA;International Trucks incomplete vehicle
3HC;International Trucks truck
3HG;[[../Honda/VIN Codes|Honda]] Mexico car
3HS;International Trucks & Caterpillar Trucks truck
3HT;International Trucks & Caterpillar Trucks incomplete vehicle
3JB;BRP Mexico (Can-Am ATV/UTV & Can-Am Ryker)
3KP;Kia/Hyundai car made by KMMX
3LN;Lincoln car
3MA;Mercury car (1988-1995)
3MD;Mazda Mexico car
3ME;Mercury car (1996-2011)
3MF;BMW M car
3MV;Mazda SUV
3MW;BMW car
3MY;Toyota car made by Mazda de Mexico Vehicle Operation
3MZ;Mazda Mexico car
3N1;Nissan Mexico car
3N6;Nissan Mexico truck & Chevrolet City Express
3N8;Nissan Mexico MPV
3NS;Polaris Industries ATV
3NE;Polaris Industries UTV
3P3;Plymouth car
3PC;Infiniti SUV made by COMPAS
3TM;Toyota truck made by TMMBC
3TY;Toyota truck made by TMMGT
3VV;Volkswagen Mexico SUV
3VW;Volkswagen Mexico car
3WK;Kenworth truck
3WP;Peterbilt truck
4A3;Mitsubishi Motors car
4A4;Mitsubishi Motors SUV
4B3;Dodge car made by Diamond-Star Motors factory
4B9/038;BYD Coach & Bus LLC
4C3;Chrysler car made by Diamond-Star Motors factory
4C9/561;Czinger
4CD;Oshkosh Chassis Division incomplete vehicle (RV chassis)
4DR;IC Bus
4E3;Eagle car made by Diamond-Star Motors factory
4EN;E-ONE, Inc. (fire engines - truck)
4F2;Mazda SUV made by Ford
4F4;Mazda truck made by Ford
4G1;Chevrolet Cavalier convertible made by Genasys L.C. – a GM/ASC joint venture
4G2;Pontiac Sunfire convertible made by Genasys L.C. – a GM/ASC joint venture
4G3;Toyota Cavalier made by GM
4G5;General Motors EV1
4GD;WhiteGMC Brigadier 1988–1989 made by GM
4GD;Opel Sintra
4GL;Buick incomplete vehicle
4GT;Isuzu incomplete vehicle built by GM
4JG;[[../Mercedes-Benz/VIN Codes|Mercedes-Benz]] SUV
4KB;Chevrolet W-Series incomplete vehicle (gas engine only)
4KD;GMC W-Series incomplete vehicle (gas engine only)
4KE;U.S. Electricar Consulier
4KL;Isuzu commercial truck built by GM
4M2;[[../Ford/VIN Codes|Mercury]] MPV/SUV
4ML;Oshkosh Trailer Division
4MZ;Buell Motorcycle Company
4N2;Nissan Quest made by Ford
4NU;Isuzu Ascender made by GM
4P1;Pierce Manufacturing Inc. USA
4P3;Plymouth car made by Diamond-Star Motors factory 1990–1994
4P3;Mitsubishi Motors SUV made by Mitsubishi Motor Manufacturing of America 2013–2015 for export only
4RK;Nova Bus & Prevost made by Nova Bus (US) Inc.
4S1;Isuzu truck made by Subaru Isuzu Automotive
4S2;Isuzu SUV made by Subaru Isuzu Automotive
4S3;[[../Subaru/VIN Codes|Subaru]] car
4S4;[[../Subaru/VIN Codes|Subaru]] SUV/MPV
4S6;Honda SUV made by Subaru Isuzu Automotive
4S7;Spartan Motors incomplete vehicle 
4S9/197;Smith Electric Vehicles
4S7/419;Spartan Motors truck
4S9/454;Scuderia Cameron Glickenhaus passenger car
4S9/520;Signature Autosport, LLC (Osprey Custom Cars)
4S9/542;Scuderia Cameron Glickenhaus SCG Boot (M.P.V.)
4S9/544;Scuderia Cameron Glickenhaus passenger car
4S9/559;Spartan Fire, LLC truck (formerly Spartan ER)
4S9/560;Spartan Fire, LLC incomplete vehicle (formerly Spartan ER)
4S9/569;SC Autosports, LLC (Kandi)
4TA;[[../Toyota/VIN Codes|Toyota]] truck made by NUMMI
4T1;[[../Toyota/VIN Codes|Toyota]] car made by Toyota Motor Manufacturing Kentucky
4T3;[[../Toyota/VIN Codes|Toyota]] MPV/SUV made by Toyota Motor Manufacturing Kentucky
4T4;[[../Toyota/VIN Codes|Toyota]] car made by Subaru of Indiana Automotive
4T9/208;Xos, Inc.
4T9/228;Lumen Motors
4UF;Arctic Cat Inc.
4US;BMW car
4UZ;Freightliner Custom Chassis Corporation & <br /> gas-powered Mitsubishi Fuso trucks assembled by Freightliner Custom Chassis & <br /> Thomas Built Buses FS-65 & Saf-T-Liner C2
4V1;WhiteGMC truck
4V2;WhiteGMC incomplete vehicle
4V3;[[../Volvo/VIN Codes|Volvo]] truck
4V4;Volvo Trucks North America truck
4V5;Volvo Trucks North America incomplete vehicle
4V6;[[../Volvo/VIN Codes|Volvo]] truck
4VA;Volvo Trucks North America truck
4VE;Volvo Trucks North America incomplete vehicle
4VG;Volvo Trucks North America truck
4VH;Volvo Trucks North America incomplete vehicle
4VM;Volvo Trucks North America incomplete vehicle
4VZ;Spartan Motors/The Shyft Group incomplete vehicle – bare chassis only
4W5;Acura ZDX EV made by GM
4XA;Polaris Inc.
4X4;Forest River
4YM;Carry-On Trailer, Inc.
4Z3;American LaFrance truck
43C;Consulier
46G;Gillig incomplete vehicle
478;Honda ATV
480;Sterling Trucks
49H;Sterling Trucks incomplete vehicle
5AS;Global Electric Motorcars (GEM) 1999-2011
5A4;Load Rite Trailers Inc.
5BP;Solectria
5BZ;Nissan "bus" (van with more than 3 rows of seats)
5B4;Workhorse Custom Chassis, LLC incomplete vehicle (RV chassis)
5CD;Indian Motorcycle Company of America (Gilroy, CA)
5CX;Shelby Series 1
5DF;Thomas Dennis Company LLC
5EH;Excelsior-Henderson Motorcycle
5FC;Columbia Vehicle Group (Columbia, Tomberlin) (low-speed vehicles)
5FN;Honda MPV/SUV made by Honda Manufacturing of Alabama
5FP;Honda truck made by Honda Manufacturing of Alabama
5FR;Acura SUV made by Honda Manufacturing of Alabama 
5FY;New Flyer
5GA;Buick MPV/SUV
5GD;Daewoo G2X
5GN;Hummer H3T
5GR;Hummer H2
5GT;Hummer H3
5GZ;Saturn MPV/SUV
5G8;Holden Volt
5HD;Harley-Davidson for export markets
5J6;Honda SUV made by Honda of America Mfg. in Ohio
5J8;Acura SUV made by Honda of America Mfg. in Ohio
5KB;Honda car made by Honda Manufacturing of Alabama
5KJ;Western Star Trucks truck
5KK;Western Star Trucks truck
5KT;Karavan Trailers
5L1;[[../Ford/VIN Codes|Lincoln]] SUV - Limousine (2004–2009)
5L5;American IronHorse Motorcycle
5LD;Ford & Lincoln incomplete vehicle – limousine (2010–2014)
5LM;[[../Ford/VIN Codes|Lincoln]] SUV
5LT;[[../Ford/VIN Codes|Lincoln]] truck
5MZ;Buell Motorcycle Company for export markets
5N1;Nissan & Infiniti SUV
5N3;Infiniti SUV
5NH;Forest River
5NM;Hyundai SUV made by HMMA
5NP;Hyundai car made by HMMA
5NT;Hyundai truck made by HMMA
5PV;Hino incomplete vehicle
5S3;Saab 9-7X
5SA;Suzuki Manufacturing of America Corp. (ATV)
5SX;American LaFrance incomplete vehicle (Condor)
5TB;[[../Toyota/VIN Codes|Toyota]] truck made by TMMI
5TD;Toyota MPV/SUV made by TMMI
5TE;Toyota truck made by NUMMI
5TF;Toyota truck made by TMMTX
5UM;BMW M car
5UX;BMW SUV
5VC;Autocar incomplete vehicle
5VF;American Electric Vehicle Company (low-speed vehicle)
5VP;Victory Motorcycles
5WE;IC Bus incomplete vehicle
5XX;Kia car made by KMMG
5XY;Kia/Hyundai SUV made by KMMG
5YA;Indian Motorcycle Company (Kings Mountain, NC)
5YF;Toyota car made by TMMMS
5YJ;Tesla, Inc. passenger car (only used for US-built Model S and Model 3 starting from Nov, 1st 2021)
5YM;BMW M SUV
5YN;Cruise Car, Inc.
5Y2;Pontiac Vibe made by NUMMI
5Y4;Yamaha Motor Motor Mfg. Corp. of America (ATV, UTV)
5ZT;Forest River
5Z6;Suzuki Equator (truck) made by Nissan
50E;Lucid Motors
50G;Karma Automotive
516;Autocar truck
51R;Brammo Motorcycles
523;VPG
52C;GEM subsidiary of Polaris Inc.
537; Azure Dynamics Transit Connect Electric
538;Zero Motorcycles
53G;Coda Automotive
53T;Think North America in Elkhart, IN
546;EBR
54C;Winnebago Industries travel trailer
54D;Isuzu & Chevrolet commercial trucks built by Spartan Motors/The Shyft Group
55S;Mercedes-Benz car
56K;Indian Motorcycle International, LLC (Polaris subsidiary)
57R;Oreion Motors
57S;Lightning Motors Corp. (electric motorcycles)
57W;Mobility Ventures
57X;Polaris Slingshot
58A;Lexus car made by TMMK (Lexus ES)
6AB;MAN Australia
6AM;Jayco Corp. (RVs)
6F1;Ford
6F2;Iveco Trucks Australia Ltd.
6F4;Nissan Motor Company Australia
6F5;Kenworth Australia
6FM;Mack Trucks Australia
6FP;[[../Ford/VIN Codes|Ford]] Australia
6G1;[[../GM/VIN Codes|General Motors]]-Holden (post Nov 2002) & Chevrolet
6G2;[[../GM/VIN Codes|Pontiac]] Australia (GTO & G8)
6G3;[[../GM/VIN Codes|General Motors]] Chevrolet 2014-2017
6H8;[[../GM/VIN Codes|General Motors]]-Holden (pre Nov 2002)
6MM;Mitsubishi Motors Australia 
6MP;Mercury Capri
6T1;[[../Toyota/VIN Codes|Toyota]] Motor Corporation Australia
6U9;Privately Imported car in Australia
7A1;Mitsubishi New Zealand
7A3;Honda New Zealand
7A4;Toyota New Zealand
7A5;Ford New Zealand
7A7;Nissan New Zealand
7FA;Honda SUV made by Honda Manufacturing of Indiana
7FC;Rivian truck
7F7;Arcimoto, Inc. 
7GZ;GMC incomplete vehicles made by Navistar International
7G2;Tesla, Inc. truck (used for Nevada-built Semi Trucks & Texas-built Cybertruck)
7H4;Hino truck
7H8;Cenntro Electric Group Limited low-speed vehicle
7JD;Volvo Cars SUV
7JR;Volvo Cars passenger car
7JZ;Proterra From mid-2019 on
7KG;Vanderhall Motor Works
7MM;Mazda SUV made by MTMUS (Mazda-Toyota Joint Venture)
7MU;Toyota SUV made by MTMUS (Mazda-Toyota Joint Venture)
7MW;Cenntro Electric Group Limited truck
7NA;Navistar Defense
7NY;Lordstown Motors
7PD;Rivian SUV
7RZ;Electric Last Mile Solutions
7SA;Tesla, Inc. (US-built MPVs (e.g. Model X, Model Y))
7SU;Blue Arc electric trucks made by The Shyft Group
7SV;[[../Toyota/VIN Codes|Toyota]] SUV made by TMMTX
7SX;Global Electric Motorcars (WAEV) 2022-
7SY;Polestar SUV
7TN;Canoo
7VV;Ree Automotive
7WE;Bollinger Motors incomplete vehicle
7Z0;Zoox
8AB;Mercedes Benz trucks (Argentina)
8AC;Mercedes Benz vans (for South America)
8AD;Peugeot Argentina
8AE;Peugeot van
8AF;[[../Ford/VIN Codes|Ford]] Argentina
8AG;[[../GM/VIN Codes|Chevrolet]] Argentina
8AJ;[[../Toyota/VIN Codes|Toyota]] Argentina
8AK;Suzuki Argentina
8AN;Nissan Argentina
8AP;Fiat Argentina
8AT;Iveco Argentina
8AW;Volkswagen Argentina
8A1;Renault Argentina
8A3;Scania Argentina
8BB;Agrale Argentina S.A.
8BC;Citroën Argentina
